step,tag,value
1000,Self-play/ELO,1200.0
1000,Self-play/ELO,1199.5
1000,Self-play/ELO,1199.5
1000,Self-play/ELO,1199.5
3000,Self-play/ELO,1199.5
3000,Self-play/ELO,1200.0
3000,Self-play/ELO,1199.5
3000,Self-play/ELO,1200.0
3000,Self-play/ELO,1199.5
4000,Self-play/ELO,1199.5
4000,Self-play/ELO,1200.0
5000,Self-play/ELO,1200.0
5000,Self-play/ELO,1199.9444580078125
5000,Self-play/ELO,1199.5
5000,Self-play/ELO,1199.5
5000,Self-play/ELO,1199.00146484375
5000,Self-play/ELO,1200.0
5000,Self-play/ELO,1199.00146484375
6000,Self-play/ELO,1199.5
6000,Self-play/ELO,1199.5
6000,Self-play/ELO,1200.0
6000,Self-play/ELO,1198.5042724609375
7000,Self-play/ELO,1199.5
7000,Self-play/ELO,1199.5
7000,Self-play/ELO,1200.0
8000,Self-play/ELO,1199.5
8000,Self-play/ELO,1199.0128173828125
8000,Self-play/ELO,1199.5
8000,Self-play/ELO,1198.5042724609375
8000,Self-play/ELO,1200.0
8000,Self-play/ELO,1199.5
8000,Self-play/ELO,1199.5
9000,Self-play/ELO,1199.5
9000,Self-play/ELO,1197.5147705078125
9000,Self-play/ELO,1200.0
9000,Self-play/ELO,1199.5
9000,Self-play/ELO,1198.0086669921875
10000,Self-play/ELO,1199.5
10000,Self-play/ELO,1199.5
10000,Self-play/ELO,1199.5
10000,Self-play/ELO,1199.5
10000,Self-play/ELO,1199.00146484375
10000,Self-play/ELO,1197.2679443359375
11000,Self-play/ELO,1199.5
11000,Self-play/ELO,1198.2791748046875
11000,Self-play/ELO,1199.5
11000,Self-play/ELO,1197.059814453125
11000,Self-play/ELO,1199.5
11000,Self-play/ELO,1197.059814453125
12000,Self-play/ELO,1199.5
12000,Self-play/ELO,1199.00146484375
12000,Self-play/ELO,1197.08935546875
12000,Self-play/ELO,1199.00146484375
12000,Self-play/ELO,1199.5
12000,Self-play/ELO,1199.00146484375
12000,Self-play/ELO,1197.08935546875
13000,Self-play/ELO,1199.00146484375
13000,Self-play/ELO,1199.250732421875
13000,Self-play/ELO,1197.536865234375
13000,Self-play/ELO,1199.5
13000,Self-play/ELO,1199.5
14000,Self-play/ELO,1198.5213623046875
14000,Self-play/ELO,1197.08935546875
14000,Self-play/ELO,1198.7529296875
14000,Self-play/ELO,1197.1268310546875
15000,Self-play/ELO,1197.5487060546875
15000,Self-play/ELO,1197.536865234375
15000,Self-play/ELO,1199.0128173828125
15000,Self-play/ELO,1198.0086669921875
15000,Self-play/ELO,1199.5
15000,Self-play/ELO,1199.00146484375
16000,Self-play/ELO,1199.0142822265625
16000,Self-play/ELO,1197.536865234375
16000,Self-play/ELO,1197.08935546875
16000,Self-play/ELO,1197.2679443359375
16000,Self-play/ELO,1199.00146484375
17000,Self-play/ELO,1199.00146484375
17000,Self-play/ELO,1197.0552978515625
17000,Self-play/ELO,1197.536865234375
17000,Self-play/ELO,1197.08935546875
17000,Self-play/ELO,1199.00146484375
17000,Self-play/ELO,1197.15576171875
18000,Self-play/ELO,1199.00146484375
18000,Self-play/ELO,1197.0552978515625
18000,Self-play/ELO,1198.5269775390625
18000,Self-play/ELO,1197.08935546875
18000,Self-play/ELO,1197.021484375
18000,Self-play/ELO,1198.5042724609375
19000,Self-play/ELO,1197.0552978515625
19000,Self-play/ELO,1197.7840576171875
19000,Self-play/ELO,1197.0439453125
19000,Self-play/ELO,1199.024169921875
19000,Self-play/ELO,1197.08935546875
19000,Self-play/ELO,1197.021484375
19000,Self-play/ELO,1198.5042724609375
19000,Self-play/ELO,1197.15576171875
20000,Self-play/ELO,1199.00146484375
20000,Self-play/ELO,1196.563720703125
20000,Self-play/ELO,1197.021484375
20000,Self-play/ELO,1198.5042724609375
20000,Self-play/ELO,1198.5042724609375
21000,Self-play/ELO,1198.9393310546875
21000,Self-play/ELO,1197.536865234375
21000,Self-play/ELO,1199.024169921875
21000,Self-play/ELO,1197.08935546875
21000,Self-play/ELO,1198.5042724609375
22000,Self-play/ELO,1196.0736083984375
22000,Self-play/ELO,1197.536865234375
