timestamp,type,message
2026-02-25 22:33:29,hang,Not recieved ping for 10 seconds
2026-02-25 22:35:04,crash,Unexpected crash: no error message from Unity
2026-02-25 22:36:50,crash,Unexpected crash: no error message from Unity
2026-02-25 22:37:25,hang,Not recieved ping for 10 seconds
2026-02-25 22:37:52,crash,ERROR:: Simulated crash for testing | 
2026-03-10 19:04:23,stuck_tank_0,Tank 0 stuck: the position doesn't change.
2026-03-10 19:04:23,stuck_tank_1,Tank 1 stuck: the position doesn't change.
2026-03-10 19:04:23,exception,InvalidOperationException: Invalid user : UnityEngine.InputSystem.Users.InputUser.get_index () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:83) | UnityEngine.InputSystem.Users.InputUser.get_controlScheme () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:200) | Tanks.Complete.TankMovementML.FixedUpdate () (at Assets/_Tanks/Scripts/THESIS/TankMovementML.cs:201) | 
2026-03-10 19:04:24,stuck_tank_0,Tank 0 stuck: the position doesn't change.
2026-03-10 19:04:24,stuck_tank_1,Tank 1 stuck: the position doesn't change.
2026-03-10 19:04:24,exception,InvalidOperationException: Invalid user : UnityEngine.InputSystem.Users.InputUser.get_index () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:83) | UnityEngine.InputSystem.Users.InputUser.get_controlScheme () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:200) | Tanks.Complete.TankMovementML.FixedUpdate () (at Assets/_Tanks/Scripts/THESIS/TankMovementML.cs:201) | 
2026-03-10 19:04:25,stuck_tank_0,Tank 0 stuck: the position doesn't change.
2026-03-10 19:04:25,stuck_tank_1,Tank 1 stuck: the position doesn't change.
2026-03-10 19:04:25,exception,InvalidOperationException: Invalid user : UnityEngine.InputSystem.Users.InputUser.get_index () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:83) | UnityEngine.InputSystem.Users.InputUser.get_controlScheme () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:200) | Tanks.Complete.TankMovementML.FixedUpdate () (at Assets/_Tanks/Scripts/THESIS/TankMovementML.cs:201) | 
2026-03-10 19:04:25,stuck_tank_0,Tank 0 stuck: the position doesn't change.
2026-03-10 19:04:25,stuck_tank_1,Tank 1 stuck: the position doesn't change.
2026-03-10 19:04:25,exception,InvalidOperationException: Invalid user : UnityEngine.InputSystem.Users.InputUser.get_index () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:83) | UnityEngine.InputSystem.Users.InputUser.get_controlScheme () (at ./Library/PackageCache/com.unity.inputsystem@57d0e36f6123/InputSystem/Plugins/Users/InputUser.cs:200) | Tanks.Complete.TankMovementML.FixedUpdate () (at Assets/_Tanks/Scripts/THESIS/TankMovementML.cs:201) | 
2026-03-10 19:04:26,stuck_tank_0,Tank 0 stuck: the position doesn't change.
2026-03-10 19:04:26,stuck_tank_1,Tank 1 stuck: the position doesn't change.
