timestamp,step,oracle,bug_type,message
2026-03-23 00:45:48,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 13.54, After: 13.54, Damage: 35.40."
2026-03-23 00:45:53,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 13.54, After: 13.54, Damage: 50.78."
2026-03-23 00:49:56,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,STUCK ORACLE,stuck_3_-1,"Tank 8 stuck: the position doesn't change. Exact position: (31.31, -2.57). Discrete Cell: (3, -1)"
2026-03-23 01:03:09,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 11.62, After: 11.62, Damage: 47.04."
2026-03-23 01:10:01,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.94, After: 10.94, Damage: 49.12."
2026-03-23 01:10:18,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.69, After: 16.69, Damage: 52.35."
2026-03-23 01:10:21,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 16.69, After: 16.69, Damage: 30.63."
2026-03-23 01:10:41,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.40, After: 10.40, Damage: 30.59."
2026-03-23 01:10:48,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.94, After: 10.94, Damage: 3.36."
2026-03-23 01:10:54,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 10.94, After: 10.94, Damage: 44.92."
2026-03-23 01:10:58,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 4.95, After: 4.95, Damage: 24.93."
2026-03-23 01:31:19,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,STUCK ORACLE,stuck_3_0,"Tank 12 stuck: the position doesn't change. Exact position: (39.02, 9.65). Discrete Cell: (3, 0)"
2026-03-23 01:31:49,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: 15.23, After: 15.23, Damage: 66.07."
2026-03-23 01:32:06,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,DAMAGE ORACLE,damage_not_applied,"Explosion hit tank but health didn't decrease! Before: -22.26, After: -22.26, Damage: 60.60."
2026-03-23 01:32:10,/Users/luketto/Desktop/Tesi/ML_Agents_tesi/simple_plugin/mlagents_plugin/config/Tanks/results/aoaooaociao!/run_logs,STUCK ORACLE,stuck_1_0,"Tank 14 stuck: the position doesn't change. Exact position: (10.84, 7.41). Discrete Cell: (1, 0)"
